x/B	Cp
-5.81E-05	0.020633
0.137366	0.0200284
0.26414	0.047917
0.376025	0.107443
0.439279	0.168208
0.479145	0.276422
0.531064	0.608516
0.571291	0.58817
0.622031	0.588533
0.744652	0.58941
0.873548	0.614139
1.01089	0.643691
1.14402	0.665276
1.27296	0.674134
1.39161	0.5861
1.47796	0.700995
1.52498	0.523566
1.56095	0.511125
1.61383	0.503567
1.73852	0.520331
1.86763	0.470464
2.00511	0.449226
