1.179	-0.75
1.424	-0.8125
1.523	-0.875
1.516	-0.9375
1.503	-1
1.469	-1.0625
1.45	-1.125
1.391	-1.25
1.314	-1.5
1.25	-1.75
0.327	0.75
0.585	0.8125
0.852	0.875
1.138	0.9375
1.232	1
1.249	1.0625
1.265	1.125
1.226	1.25
1.207	1.5
1.185	1.75
1.176	2
1.135	3
1.12	4
1.14	3
1.108	4
-0.305	-0.575
0.043	-0.625
0.664	-0.6875
1.206	-0.75
1.467	-0.8125
1.546	-0.875
1.544	-0.9375
1.516	-1
1.49	-1.0625
1.449	-1.125
-0.183	0.575
-0.179	0.625
0.002	0.6875
0.286	0.75
0.617	0.8125
0.955	0.875
1.159	0.9375
1.279	1
1.286	1.0625
1.277	1.125
