x/B	Vmean/U
1.38E+00	-3.35E-01
1.50E+00	-1.59E-01
1.63E+00	8.00E-02
1.75E+00	3.63E-01
1.88E+00	5.96E-01
2.00E+00	7.78E-01
2.13E+00	9.10E-01
2.25E+00	1.02E+00
2.38E+00	1.01E+00
2.50E+00	9.64E-01
2.63E+00	9.07E-01
2.75E+00	8.43E-01
2.88E+00	7.96E-01
3.00E+00	7.12E-01
3.13E+00	6.24E-01
3.38E+00	3.03E-01
3.50E+00	1.51E-01
3.75E+00	-4.36E-01
4.00E+00	-5.72E-01
4.25E+00	-5.53E-01
4.50E+00	-5.96E-01
4.75E+00	-5.70E-01
5.00E+00	-5.48E-01
5.25E+00	-5.21E-01
5.50E+00	-4.82E-01
5.75E+00	-4.02E-01
6.00E+00	-2.99E-01
6.25E+00	-6.70E-02
6.50E+00	1.66E-01
6.90E+00	3.55E-01
7.30E+00	4.60E-01
7.70E+00	4.37E-01
8.10E+00	3.78E-01
8.50E+00	2.58E-01
