(title "X Velocity vs. Y-Coordinate")
(labels "Y-Coordinate" "X Velocity")

((xy/key/label "line-trail")
-15	1.0143
-14.6852	1.01436
-14.3704	1.01444
-14.0556	1.01456
-13.7407	1.0147
-13.4259	1.01488
-13.1111	1.0151
-12.7963	1.01535
-12.4815	1.01563
-12.1667	1.01596
-11.8519	1.01632
-11.537	1.01673
-11.2222	1.01718
-10.9074	1.01768
-10.5926	1.01824
-10.2778	1.01885
-9.96296	1.01952
-9.64815	1.02027
-9.33333	1.02109
-9.01852	1.022
-8.7037	1.02301
-8.52381	1.02364
-8.38889	1.02412
-8.07407	1.02535
-7.75926	1.02671
-7.44444	1.02823
-7.12963	1.02991
-6.81482	1.03178
-6.5	1.03439
-6.40972	1.03493
-6.24674	1.03582
-6.02746	1.03757
-5.99945	1.0378
-5.9794	1.03799
-5.7581	1.03994
-5.56801	1.04183
-5.5241	1.04222
-5.46408	1.04289
-5.2982	1.04473
-5.18315	1.04639
-5.08168	1.04762
-4.991	1.04845
-4.89452	1.04937
-4.78151	1.0507
-4.67074	1.05243
-4.59246	1.05353
-4.43275	1.05595
-4.41387	1.05621
-4.36031	1.05706
-4.24286	1.05892
-4.20064	1.05967
-4.07928	1.06167
-3.97879	1.06352
-3.92318	1.06445
-3.78827	1.067
-3.77419	1.06726
-3.76836	1.06739
-3.63048	1.07011
-3.56786	1.0715
-3.4935	1.07303
-3.38081	1.0756
-3.36308	1.07598
-3.31959	1.077
-3.23803	1.0789
-3.20424	1.07975
-3.11844	1.08181
-3.03639	1.08392
-3.00597	1.0847
-2.95926	1.08595
-2.91001	1.08734
-2.82115	1.08989
-2.80038	1.09054
-2.7466	1.09208
-2.70601	1.09323
-2.66989	1.09445
-2.61529	1.09626
-2.59335	1.0971
-2.50542	1.10027
-2.48301	1.10111
-2.40799	1.10426
-2.38365	1.10523
-2.31194	1.10817
-2.29416	1.10893
-2.22265	1.11217
-2.21191	1.11268
-2.14093	1.11625
-2.13607	1.11649
-2.07226	1.12008
-2.0673	1.12036
-2.06686	1.12039
-2.01124	1.12338
-1.9887	1.12466
-1.96174	1.12619
-1.94676	1.1272
-1.90566	1.12996
-1.86574	1.13289
-1.84775	1.13431
-1.79895	1.13789
-1.795	1.13819
-1.785	1.13897
-1.74625	1.14197
-1.7262	1.14375
-1.69874	1.14629
-1.66335	1.14997
-1.65197	1.15115
-1.6404	1.15237
-1.60732	1.15584
-1.57684	1.1592
-1.56451	1.16046
-1.55391	1.16179
-1.52334	1.16555
-1.48341	1.16967
-1.48341	1.16967
-1.41399	1.18016
-1.34659	1.19057
-1.28115	1.20205
-1.21763	1.21487
-1.15595	1.22903
-1.09607	1.24193
-1.03793	1.2478
-0.981483	1.21689
-0.926682	1.08372
-0.873478	0.841853
-0.821823	0.583752
-0.771673	0.378756
-0.722984	0.230592
-0.675712	0.127713
-0.629818	0.0593458
-0.58526	0.0172949
-0.542	-0.00148175
-0.5	0
0.5	0
0.542	-0.349179
0.58526	-0.311349
0.629818	-0.15835
0.675712	0.12343
0.722984	0.505971
0.771673	0.948882
0.821823	1.32162
0.873478	1.49792
0.926682	1.53307
0.981483	1.52277
1.03793	1.49757
1.09607	1.47071
1.15595	1.44492
1.21763	1.42002
1.28115	1.39575
1.34659	1.37246
1.41399	1.34999
1.48341	1.3258
1.48341	1.3258
1.52628	1.31566
1.56882	1.30341
1.5702	1.303
1.57147	1.30266
1.61523	1.29071
1.65815	1.27967
1.66122	1.27889
1.66467	1.27806
1.70832	1.26735
1.7455	1.25881
1.75597	1.2564
1.76833	1.25376
1.8043	1.2458
1.8316	1.24053
1.84978	1.23698
1.89336	1.22856
1.90802	1.22558
1.93673	1.21987
1.96899	1.21312
1.987	1.21017
2.02645	1.20381
2.05693	1.19925
2.10072	1.19194
2.13182	1.18662
2.177	1.17978
2.19684	1.17677
2.26091	1.16831
2.26785	1.16738
2.26946	1.16717
2.34574	1.15726
2.38165	1.15307
2.42727	1.14775
2.50946	1.13915
2.51069	1.13902
2.51271	1.13883
2.59618	1.13058
2.63847	1.12698
2.68079	1.12338
2.73368	1.11913
2.83916	1.11043
2.84282	1.11012
2.84679	1.10983
2.95651	1.10155
3.03505	1.09666
3.07485	1.09415
3.16396	1.08958
3.17485	1.08901
3.18318	1.08859
3.27382	1.0839
3.33578	1.08088
3.39815	1.07787
3.48597	1.07429
3.53087	1.07239
3.56571	1.07112
3.66828	1.06733
3.80527	1.06298
