x/B	Cp
-6.94E-05	9.84E-01
1.41E-01	9.52E-01
2.62E-01	8.71E-01
3.77E-01	6.13E-01
4.39E-01	4.03E-01
4.75E-01	1.61E-02
5.18E-01	-1.32E+00
5.56E-01	-1.32E+00
6.07E-01	-1.30E+00
7.33E-01	-1.34E+00
8.60E-01	-1.41E+00
9.95E-01	-1.40E+00
1.13E+00	-1.44E+00
1.26E+00	-1.38E+00
1.38E+00	-1.36E+00
1.43E+00	-1.38E+00
1.47E+00	-1.42E+00
1.52E+00	-1.29E+00
1.56E+00	-1.29E+00
1.61E+00	-1.29E+00
1.73E+00	-1.32E+00
1.85E+00	-1.36E+00
1.99E+00	-1.39E+00
